fecha	hora	precio_md
2015-01-01	1	50.1
2015-01-01	2	48.1
2015-01-01	3	47.33
2015-01-01	4	42.27
2015-01-01	5	38.41
2015-01-01	6	35.72
2015-01-01	7	35.13
2015-01-01	8	36.22
2015-01-01	9	32.4
2015-01-01	10	36.6
2015-01-01	11	43.1
2015-01-01	12	45.14
2015-01-01	13	45.14
2015-01-01	14	47.35
2015-01-01	15	47.35
2015-01-01	16	43.61
2015-01-01	17	44.91
2015-01-01	18	48.1
2015-01-01	19	58.02
2015-01-01	20	61.01
2015-01-01	21	62.69
2015-01-01	22	60.41
2015-01-01	23	58.15
2015-01-01	24	53.6
2015-01-02	1	47.34
2015-01-02	2	40.4
2015-01-02	3	36
2015-01-02	4	37
2015-01-02	5	35.99
2015-01-02	6	37.98
2015-01-02	7	43.61
2015-01-02	8	56.1
2015-01-02	9	57.69
2015-01-02	10	60.01
2015-01-02	11	62.25
2015-01-02	12	60.01
2015-01-02	13	59.97
2015-01-02	14	59.69
2015-01-02	15	58.69
2015-01-02	16	58.13
2015-01-02	17	59
2015-01-02	18	59.69
2015-01-02	19	63.76
2015-01-02	20	65.01
2015-01-02	21	65.01
2015-01-02	22	61.75
2015-01-02	23	59.96
2015-01-02	24	58.69
2015-01-03	1	52.1
2015-01-03	2	47.84
2015-01-03	3	43.66
2015-01-03	4	43.66
2015-01-03	5	41.98
2015-01-03	6	43.93
2015-01-03	7	46.02
2015-01-03	8	50.92
2015-01-03	9	55.57
2015-01-03	10	58.1
2015-01-03	11	59.8
2015-01-03	12	59.51
2015-01-03	13	59
2015-01-03	14	58.13
2015-01-03	15	56.9
2015-01-03	16	52.69
2015-01-03	17	52.1
2015-01-03	18	56.1
2015-01-03	19	59
2015-01-03	20	59.8
2015-01-03	21	59.92
2015-01-03	22	59.51
2015-01-03	23	58.1
2015-01-03	24	56.1
2015-01-04	1	39.82
2015-01-04	2	34.82
2015-01-04	3	34
2015-01-04	4	36
2015-01-04	5	35
2015-01-04	6	35.5
2015-01-04	7	36
2015-01-04	8	36.49
2015-01-04	9	38.5
2015-01-04	10	41.86
2015-01-04	11	48.51
2015-01-04	12	48.51
2015-01-04	13	45.5
2015-01-04	14	47.71
2015-01-04	15	46.48
2015-01-04	16	39.82
2015-01-04	17	39.6
2015-01-04	18	47.69
2015-01-04	19	59.11
2015-01-04	20	61.26
2015-01-04	21	62.31
2015-01-04	22	62.69
2015-01-04	23	61.19
2015-01-04	24	59.8
2015-01-05	1	56.06
2015-01-05	2	48.07
2015-01-05	3	43.93
2015-01-05	4	45.67
2015-01-05	5	45.69
2015-01-05	6	47.49
2015-01-05	7	57.5
2015-01-05	8	63
2015-01-05	9	65.11
2015-01-05	10	66.96
2015-01-05	11	67.52
2015-01-05	12	65.97
2015-01-05	13	63.68
2015-01-05	14	62.71
2015-01-05	15	60.01
2015-01-05	16	59.8
2015-01-05	17	59.98
2015-01-05	18	63.46
