fecha	hora	prev_eolica
2015-01-01	1	4996
2015-01-01	2	4603
2015-01-01	3	4230
2015-01-01	4	3976
2015-01-01	5	3802
2015-01-01	6	3590
2015-01-01	7	3420
2015-01-01	8	3096
2015-01-01	9	2825
2015-01-01	10	2605
2015-01-01	11	2406
2015-01-01	12	2189
2015-01-01	13	2119
2015-01-01	14	2128
2015-01-01	15	2090
2015-01-01	16	2122
2015-01-01	17	2184
2015-01-01	18	2430
2015-01-01	19	2786
2015-01-01	20	3071
2015-01-01	21	3265
2015-01-01	22	3324
2015-01-01	23	3398
2015-01-01	24	3392
2015-01-02	1	3193
2015-01-02	2	3200
2015-01-02	3	3128
2015-01-02	4	3069
2015-01-02	5	3026
2015-01-02	6	3024
2015-01-02	7	3084
2015-01-02	8	3124
2015-01-02	9	3147
2015-01-02	10	3118
2015-01-02	11	2875
2015-01-02	12	2572
2015-01-02	13	2228
2015-01-02	14	2053
2015-01-02	15	2056
2015-01-02	16	2063
2015-01-02	17	2248
2015-01-02	18	2459
2015-01-02	19	2676
2015-01-02	20	2746
2015-01-02	21	2765
2015-01-02	22	2769
2015-01-02	23	2745
2015-01-02	24	2731
2015-01-03	1	2292
2015-01-03	2	2345
2015-01-03	3	2377
2015-01-03	4	2388
2015-01-03	5	2422
2015-01-03	6	2482
2015-01-03	7	2657
2015-01-03	8	2799
2015-01-03	9	2873
2015-01-03	10	2927
2015-01-03	11	2827
2015-01-03	12	2698
2015-01-03	13	2559
2015-01-03	14	2582
2015-01-03	15	2610
2015-01-03	16	2728
2015-01-03	17	3101
2015-01-03	18	3627
2015-01-03	19	4247
2015-01-03	20	4469
2015-01-03	21	4491
2015-01-03	22	4444
2015-01-03	23	4383
2015-01-03	24	4340
2015-01-04	1	4080
2015-01-04	2	4102
2015-01-04	3	4155
2015-01-04	4	4223
2015-01-04	5	4259
2015-01-04	6	4278
2015-01-04	7	4248
2015-01-04	8	4239
2015-01-04	9	4277
2015-01-04	10	4164
2015-01-04	11	3905
2015-01-04	12	3617
2015-01-04	13	3344
2015-01-04	14	3290
2015-01-04	15	3360
2015-01-04	16	3361
2015-01-04	17	3484
2015-01-04	18	3434
2015-01-04	19	3696
2015-01-04	20	3603
2015-01-04	21	3400
2015-01-04	22	3112
2015-01-04	23	2711
2015-01-04	24	2375
2015-01-05	1	1768
2015-01-05	2	1538
2015-01-05	3	1409
2015-01-05	4	1367
2015-01-05	5	1433
2015-01-05	6	1531
2015-01-05	7	1599
2015-01-05	8	1660
2015-01-05	9	1718
2015-01-05	10	1764
2015-01-05	11	1676
2015-01-05	12	1613
2015-01-05	13	1598
2015-01-05	14	1627
2015-01-05	15	1625
2015-01-05	16	1613
2015-01-05	17	1636
2015-01-05	18	1707
2015-01-05	19	1805
2015-01-05	20	1959
2015-01-05	21	2073
2015-01-05	22	2187
2015-01-05	23	2318
2015-01-05	24	2491
2015-01-06	1	2515
2015-01-06	2	2725
2015-01-06	3	2881
2015-01-06	4	2903
2015-01-06	5	2955
2015-01-06	6	3148
2015-01-06	7	3345
2015-01-06	8	3351
2015-01-06	9	3262
2015-01-06	10	3079
2015-01-06	11	2811
2015-01-06	12	2528
2015-01-06	13	2242
2015-01-06	14	2166
2015-01-06	15	2075
2015-01-06	16	2020
2015-01-06	17	2140
2015-01-06	18	2330
2015-01-06	19	2562
2015-01-06	20	2633
2015-01-06	21	2684
2015-01-06	22	2707
2015-01-06	23	2650
2015-01-06	24	2560
2015-01-07	1	1799
2015-01-07	2	1640
2015-01-07	3	1540
2015-01-07	4	1459
2015-01-07	5	1461
2015-01-07	6	1634
2015-01-07	7	1698
2015-01-07	8	1686
2015-01-07	9	1611
2015-01-07	10	1520
2015-01-07	11	1281
2015-01-07	12	1068
2015-01-07	13	921
2015-01-07	14	809
2015-01-07	15	750
2015-01-07	16	683
2015-01-07	17	790
2015-01-07	18	906
2015-01-07	19	1103
2015-01-07	20	1170
2015-01-07	21	1193
2015-01-07	22	1253
2015-01-07	23	1317
2015-01-07	24	1381
2015-01-08	1	1477
2015-01-08	2	1527
2015-01-08	3	1578
2015-01-08	4	1645
2015-01-08	5	1737
2015-01-08	6	1801
2015-01-08	7	1895
2015-01-08	8	1880
2015-01-08	9	1842
2015-01-08	10	1804
2015-01-08	11	1761
2015-01-08	12	1712
2015-01-08	13	1692
2015-01-08	14	1770
2015-01-08	15	1872
2015-01-08	16	1952
2015-01-08	17	2023
2015-01-08	18	2110
2015-01-08	19	2312
2015-01-08	20	2606
2015-01-08	21	2877
2015-01-08	22	3153
2015-01-08	23	3380
2015-01-08	24	3650
2015-01-09	1	4373
2015-01-09	2	4192
2015-01-09	3	3891
2015-01-09	4	3661
2015-01-09	5	3469
2015-01-09	6	3240
2015-01-09	7	3153
2015-01-09	8	3127
2015-01-09	9	3121
2015-01-09	10	3072
2015-01-09	11	3015
2015-01-09	12	2973
2015-01-09	13	2932
2015-01-09	14	2786
2015-01-09	15	2559
2015-01-09	16	2575
2015-01-09	17	2598
2015-01-09	18	2670
2015-01-09	19	2836
2015-01-09	20	3000
2015-01-09	21	3036
2015-01-09	22	3113
2015-01-09	23	3213
2015-01-09	24	3319
2015-01-10	1	4021
2015-01-10	2	3970
2015-01-10	3	4067
2015-01-10	4	4129
2015-01-10	5	4079
2015-01-10	6	4015
2015-01-10	7	4138
2015-01-10	8	4089
2015-01-10	9	4060
2015-01-10	10	3913
2015-01-10	11	3559
2015-01-10	12	3096
2015-01-10	13	2714
2015-01-10	14	2335
2015-01-10	15	2184
2015-01-10	16	2138
2015-01-10	17	2379
2015-01-10	18	2781
2015-01-10	19	3223
2015-01-10	20	3628
2015-01-10	21	3983
2015-01-10	22	4243
2015-01-10	23	4443
2015-01-10	24	4648
2015-01-11	1	5283
2015-01-11	2	5574
2015-01-11	3	5957
2015-01-11	4	6086
2015-01-11	5	6295
2015-01-11	6	6576
2015-01-11	7	6802
2015-01-11	8	6944
2015-01-11	9	7064
2015-01-11	10	7122
2015-01-11	11	7149
2015-01-11	12	7215
2015-01-11	13	7198
2015-01-11	14	7121
2015-01-11	15	6796
2015-01-11	16	6341
2015-01-11	17	5752
2015-01-11	18	5383
2015-01-11	19	5068
2015-01-11	20	4700
2015-01-11	21	4396
2015-01-11	22	4150
2015-01-11	23	3838
2015-01-11	24	3543
2015-01-12	1	3829
2015-01-12	2	4043
2015-01-12	3	4266
2015-01-12	4	4563
2015-01-12	5	4815
2015-01-12	6	5032
2015-01-12	7	5299
2015-01-12	8	5478
2015-01-12	9	5681
2015-01-12	10	5885
2015-01-12	11	5722
2015-01-12	12	5544
2015-01-12	13	5410
2015-01-12	14	5515
2015-01-12	15	5753
2015-01-12	16	6161
2015-01-12	17	6199
2015-01-12	18	6217
2015-01-12	19	6369
2015-01-12	20	6511
2015-01-12	21	6850
2015-01-12	22	7104
2015-01-12	23	7308
2015-01-12	24	7397
2015-01-13	1	7512
2015-01-13	2	7454
2015-01-13	3	7452
2015-01-13	4	7406
2015-01-13	5	7347
2015-01-13	6	7297
2015-01-13	7	7389
2015-01-13	8	7358
2015-01-13	9	7299
2015-01-13	10	7116
2015-01-13	11	6767
2015-01-13	12	6412
2015-01-13	13	6219
