fecha	hora	prev_demanda
2015-01-01	1	26460
2015-01-01	2	25369
2015-01-01	3	23973
2015-01-01	4	22559
2015-01-01	5	21603
2015-01-01	6	21307
2015-01-01	7	21177
2015-01-01	8	21266
2015-01-01	9	21271
2015-01-01	10	21239
2015-01-01	11	22631
2015-01-01	12	23585
2015-01-01	13	24136
2015-01-01	14	24926
2015-01-01	15	25524
2015-01-01	16	24435
2015-01-01	17	23680
2015-01-01	18	24129
2015-01-01	19	27225
2015-01-01	20	28635
2015-01-01	21	30589
2015-01-01	22	30840
2015-01-01	23	29830
2015-01-01	24	27589
2015-01-02	1	22672
2015-01-02	2	20475
2015-01-02	3	19600
2015-01-02	4	19100
2015-01-02	5	19000
2015-01-02	6	19200
2015-01-02	7	20201
2015-01-02	8	22507
2015-01-02	9	27526
2015-01-02	10	32544
2015-01-02	11	34045
2015-01-02	12	33901
2015-01-02	13	33060
2015-01-02	14	32929
2015-01-02	15	31949
2015-01-02	16	31075
2015-01-02	17	30893
2015-01-02	18	31528
2015-01-02	19	34137
2015-01-02	20	34811
2015-01-02	21	34846
2015-01-02	22	34522
2015-01-02	23	32608
2015-01-02	24	29366
2015-01-03	1	25970
2015-01-03	2	23787
2015-01-03	3	21973
2015-01-03	4	21036
2015-01-03	5	20720
2015-01-03	6	20937
2015-01-03	7	21689
2015-01-03	8	23084
2015-01-03	9	25159
2015-01-03	10	28214
2015-01-03	11	30760
2015-01-03	12	30757
2015-01-03	13	30221
2015-01-03	14	29953
2015-01-03	15	29483
2015-01-03	16	28486
2015-01-03	17	27650
2015-01-03	18	27622
2015-01-03	19	30139
2015-01-03	20	31070
2015-01-03	21	31416
2015-01-03	22	31416
2015-01-03	23	29971
2015-01-03	24	28031
2015-01-04	1	25278
2015-01-04	2	22724
2015-01-04	3	20862
2015-01-04	4	20179
2015-01-04	5	19809
2015-01-04	6	19888
2015-01-04	7	20213
2015-01-04	8	21116
2015-01-04	9	22185
2015-01-04	10	24494
2015-01-04	11	26849
2015-01-04	12	27595
2015-01-04	13	27298
2015-01-04	14	27479
2015-01-04	15	27257
2015-01-04	16	26024
2015-01-04	17	25473
2015-01-04	18	25796
2015-01-04	19	28299
2015-01-04	20	29723
2015-01-04	21	29510
2015-01-04	22	30242
2015-01-04	23	29693
2015-01-04	24	27427
2015-01-05	1	25632
2015-01-05	2	23220
2015-01-05	3	21772
2015-01-05	4	21220
2015-01-05	5	21198
2015-01-05	6	21989
2015-01-05	7	24745
2015-01-05	8	28048
2015-01-05	9	31182
2015-01-05	10	33086
2015-01-05	11	33763
2015-01-05	12	33412
2015-01-05	13	32961
2015-01-05	14	32460
2015-01-05	15	31282
2015-01-05	16	30028
2015-01-05	17	29903
2015-01-05	18	30229
2015-01-05	19	32635
2015-01-05	20	33337
2015-01-05	21	33112
2015-01-05	22	31815
2015-01-05	23	30995
2015-01-05	24	29616
2015-01-06	1	26001
2015-01-06	2	23297
2015-01-06	3	21162
2015-01-06	4	20020
2015-01-06	5	19364
2015-01-06	6	19256
2015-01-06	7	19612
2015-01-06	8	20842
2015-01-06	9	20948
2015-01-06	10	22133
2015-01-06	11	24097
2015-01-06	12	24974
2015-01-06	13	24748
2015-01-06	14	25021
2015-01-06	15	24971
2015-01-06	16	23796
2015-01-06	17	23341
2015-01-06	18	23956
2015-01-06	19	26307
2015-01-06	20	27711
2015-01-06	21	28966
2015-01-06	22	30067
2015-01-06	23	29804
2015-01-06	24	27669
2015-01-07	1	24847
2015-01-07	2	22428
2015-01-07	3	21194
2015-01-07	4	20675
2015-01-07	5	20605
2015-01-07	6	21508
2015-01-07	7	24141
